Order ID,Customer ID,Order Date,Product,Quantity,Price,Region,Revenue,Month
ORD0001,CUST012,2023-08-19,Headphones,3,42731,North,128193,2023-08
ORD0002,CUST040,2023-12-05,Headphones,2,8501,South,17002,2023-12
ORD0003,CUST022,2023-05-02,Keyboard,4,42714,North,170856,2023-05
ORD0004,CUST027,2023-04-14,Headphones,5,1352,South,6760,2023-04
ORD0005,CUST026,2023-08-10,Printer,4,30113,South,120452,2023-08
ORD0006,CUST004,2023-04-28,Laptop,5,41389,West,206945,2023-04
ORD0007,CUST026,2023-07-13,Tablet,3,24809,South,74427,2023-07
ORD0008,CUST035,2023-02-10,Mouse,5,14684,North,73420,2023-02
ORD0009,CUST011,2023-05-17,Laptop,5,1413,West,7065,2023-05
ORD0010,CUST020,2023-12-18,Keyboard,1,44733,East,44733,2023-12
ORD0011,CUST024,2023-06-08,Mouse,4,24928,North,99712,2023-06
ORD0012,CUST013,2023-06-01,Phone,2,10278,East,20556,2023-06
ORD0013,CUST024,2023-10-10,Monitor,5,11308,North,56540,2023-10
ORD0014,CUST039,2023-07-22,Keyboard,1,34157,South,34157,2023-07
ORD0015,CUST025,2023-06-07,Keyboard,5,19946,East,99730,2023-06
ORD0016,CUST005,2023-10-24,Laptop,2,26171,East,52342,2023-10
ORD0017,CUST029,2023-08-16,Headphones,4,22133,North,88532,2023-08
ORD0018,CUST031,2023-03-29,Printer,4,20240,East,80960,2023-03
ORD0019,CUST016,2023-04-19,Phone,1,32352,East,32352,2023-04
ORD0020,CUST007,2023-08-20,Laptop,5,24463,East,122315,2023-08
ORD0021,CUST013,2023-10-24,Phone,2,47406,East,94812,2023-10
ORD0022,CUST036,2023-05-30,Tablet,3,30732,South,92196,2023-05
ORD0023,CUST034,2023-10-10,Keyboard,4,47331,East,189324,2023-10
ORD0024,CUST002,2023-08-03,Tablet,2,19741,North,39482,2023-08
ORD0025,CUST020,2023-05-14,Headphones,5,1869,North,9345,2023-05
ORD0026,CUST013,2023-09-23,Monitor,2,24278,East,48556,2023-09
ORD0027,CUST019,2023-09-29,Printer,1,30662,West,30662,2023-09
ORD0028,CUST040,2023-02-08,Tablet,2,21341,West,42682,2023-02
ORD0029,CUST023,2023-07-17,Mouse,2,2130,South,4260,2023-07
ORD0030,CUST005,2023-01-20,Keyboard,1,22537,South,22537,2023-01
ORD0031,CUST028,2023-03-05,Keyboard,2,31012,West,62024,2023-03
ORD0032,CUST011,2023-10-05,Headphones,2,6848,West,13696,2023-10
ORD0033,CUST014,2023-12-17,Tablet,3,48110,East,144330,2023-12
ORD0034,CUST035,2023-11-30,Mouse,4,32906,West,131624,2023-11
ORD0035,CUST013,2023-08-24,Laptop,2,8940,East,17880,2023-08
ORD0036,CUST032,2023-04-22,Monitor,5,13741,South,68705,2023-04
ORD0037,CUST021,2023-03-14,Monitor,4,35630,North,142520,2023-03
ORD0038,CUST033,2023-03-07,Mouse,1,1064,South,1064,2023-03
ORD0039,CUST026,2023-06-22,Mouse,3,43767,West,131301,2023-06
ORD0040,CUST037,2023-03-27,Mouse,3,40788,South,122364,2023-03
ORD0041,CUST039,2023-02-06,Mouse,1,41517,West,41517,2023-02
ORD0042,CUST010,2023-03-17,Printer,4,8039,South,32156,2023-03
ORD0043,CUST038,2023-10-08,Mouse,1,14215,West,14215,2023-10
ORD0044,CUST029,2023-07-15,Headphones,2,46598,North,93196,2023-07
ORD0045,CUST015,2023-05-20,Keyboard,4,16209,North,64836,2023-05
ORD0046,CUST009,2023-04-08,Tablet,3,38641,North,115923,2023-04
ORD0047,CUST034,2023-09-24,Mouse,5,3417,West,17085,2023-09
ORD0048,CUST020,2023-04-03,Tablet,2,14401,North,28802,2023-04
ORD0049,CUST029,2023-03-19,Laptop,1,18941,East,18941,2023-03
ORD0050,CUST013,2023-09-05,Tablet,1,38119,West,38119,2023-09
ORD0051,CUST034,2023-05-02,Tablet,1,43539,South,43539,2023-05
ORD0052,CUST020,2023-09-03,Phone,3,20928,North,62784,2023-09
ORD0053,CUST027,2023-10-08,Mouse,1,40999,South,40999,2023-10
ORD0054,CUST024,2023-07-09,Monitor,2,43686,South,87372,2023-07
ORD0055,CUST008,2023-11-26,Mouse,3,17264,West,51792,2023-11
ORD0056,CUST019,2023-06-28,Laptop,5,24565,East,122825,2023-06
ORD0057,CUST029,2023-01-06,Printer,3,9974,South,29922,2023-01
ORD0058,CUST021,2023-12-12,Tablet,5,34442,West,172210,2023-12
ORD0059,CUST013,2023-05-05,Printer,1,11607,East,11607,2023-05
ORD0060,CUST015,2023-11-15,Tablet,5,39217,South,196085,2023-11
ORD0061,CUST026,2023-10-12,Phone,3,14231,North,42693,2023-10
ORD0062,CUST032,2023-01-23,Phone,4,19920,South,79680,2023-01
ORD0063,CUST018,2023-10-30,Phone,5,19679,West,98395,2023-10
ORD0064,CUST009,2023-10-19,Phone,5,49640,South,248200,2023-10
ORD0065,CUST025,2023-09-07,Monitor,3,46580,East,139740,2023-09
ORD0066,CUST013,2023-11-26,Phone,1,29596,East,29596,2023-11
ORD0067,CUST012,2023-11-20,Keyboard,2,25188,South,50376,2023-11
ORD0068,CUST016,2023-09-08,Headphones,1,6499,South,6499,2023-09
ORD0069,CUST002,2023-04-01,Tablet,3,35508,East,106524,2023-04
ORD0070,CUST032,2023-01-18,Monitor,5,48454,East,242270,2023-01
ORD0071,CUST036,2023-11-24,Printer,3,9648,East,28944,2023-11
ORD0072,CUST029,2023-01-04,Headphones,2,47436,North,94872,2023-01
ORD0073,CUST029,2023-08-26,Headphones,2,14471,South,28942,2023-08
ORD0074,CUST010,2023-01-05,Keyboard,3,13584,West,40752,2023-01
ORD0075,CUST026,2023-04-17,Phone,5,3568,South,17840,2023-04
ORD0076,CUST010,2023-03-02,Laptop,5,34322,West,171610,2023-03
ORD0077,CUST018,2023-07-03,Printer,2,39597,East,79194,2023-07
ORD0078,CUST032,2023-03-08,Printer,4,39963,East,159852,2023-03
ORD0079,CUST015,2023-06-02,Monitor,4,34059,North,136236,2023-06
ORD0080,CUST031,2023-10-13,Keyboard,2,32996,East,65992,2023-10
ORD0081,CUST028,2023-08-19,Mouse,5,3354,North,16770,2023-08
ORD0082,CUST019,2023-03-19,Laptop,5,40017,West,200085,2023-03
ORD0083,CUST003,2023-04-05,Phone,3,19688,South,59064,2023-04
ORD0084,CUST017,2023-06-20,Phone,3,25273,West,75819,2023-06
ORD0085,CUST039,2023-06-15,Laptop,5,45060,East,225300,2023-06
ORD0086,CUST009,2023-08-03,Keyboard,1,10021,North,10021,2023-08
ORD0087,CUST028,2023-09-02,Mouse,3,8245,South,24735,2023-09
ORD0088,CUST024,2023-07-29,Phone,1,1811,South,1811,2023-07
ORD0089,CUST033,2023-01-24,Phone,4,23917,West,95668,2023-01
ORD0090,CUST004,2023-11-12,Printer,2,19128,West,38256,2023-11
ORD0091,CUST012,2023-11-01,Mouse,2,5877,South,11754,2023-11
ORD0092,CUST008,2023-02-05,Tablet,3,17245,East,51735,2023-02
ORD0093,CUST008,2023-05-14,Monitor,3,20004,South,60012,2023-05
ORD0094,CUST034,2023-11-16,Tablet,3,16697,North,50091,2023-11
ORD0095,CUST017,2023-01-04,Laptop,1,8112,East,8112,2023-01
ORD0096,CUST019,2023-04-26,Headphones,5,28400,East,142000,2023-04
ORD0097,CUST018,2023-01-03,Monitor,1,18304,West,18304,2023-01
ORD0098,CUST013,2023-02-02,Keyboard,1,7018,South,7018,2023-02
ORD0099,CUST012,2023-11-25,Headphones,2,44934,North,89868,2023-11
ORD0100,CUST034,2023-02-10,Headphones,4,20969,North,83876,2023-02
ORD0101,CUST034,2023-01-03,Monitor,5,522,West,2610,2023-01
ORD0102,CUST034,2023-12-09,Headphones,1,37869,South,37869,2023-12
ORD0103,CUST031,2023-02-10,Monitor,4,36309,West,145236,2023-02
ORD0104,CUST031,2023-03-23,Phone,4,20978,East,83912,2023-03
ORD0105,CUST023,2023-06-01,Phone,3,48727,East,146181,2023-06
ORD0106,CUST017,2023-05-15,Monitor,1,25223,South,25223,2023-05
ORD0107,CUST028,2023-08-25,Printer,4,28315,East,113260,2023-08
ORD0108,CUST021,2023-03-22,Monitor,1,6013,South,6013,2023-03
ORD0109,CUST011,2023-01-07,Printer,2,26284,West,52568,2023-01
ORD0110,CUST011,2023-09-21,Tablet,4,32762,East,131048,2023-09
ORD0111,CUST005,2023-01-28,Keyboard,3,14977,West,44931,2023-01
ORD0112,CUST009,2023-04-06,Monitor,2,13883,North,27766,2023-04
ORD0113,CUST017,2023-07-20,Tablet,2,39899,East,79798,2023-07
ORD0114,CUST017,2023-12-31,Monitor,5,37336,South,186680,2023-12
ORD0115,CUST014,2023-01-23,Monitor,2,34781,East,69562,2023-01
ORD0116,CUST005,2023-04-27,Tablet,2,16937,East,33874,2023-04
ORD0117,CUST023,2023-05-26,Laptop,1,29132,South,29132,2023-05
ORD0118,CUST008,2023-04-13,Printer,3,42696,East,128088,2023-04
ORD0119,CUST029,2023-11-13,Phone,3,27834,North,83502,2023-11
ORD0120,CUST013,2023-09-30,Tablet,5,10829,South,54145,2023-09
